Volume;Material
0.22;Concrete
0.39;Concrete
0.22;Concrete
0.53;Concrete
0.35;Concrete
0.31;Concrete
0.08;Concrete
0.29;Concrete
0.08;Concrete
0.32;Concrete
0.08;Concrete
0.23;Concrete
0.08;Concrete
0.05;Concrete
0.13;Concrete
0.31;Concrete
0.08;Concrete
0.39;Concrete
0.08;Concrete
0.39;Concrete
0.08;Concrete
0.38;Concrete
0.08;Concrete
0.22;Concrete
0.07;Concrete
0.08;Concrete
0.08;Concrete
0.37;Concrete
0.08;Concrete
0.39;Concrete
0.27;Concrete
0.08;Concrete
0.4;Concrete
0.08;Concrete
0.63;Concrete
0.15;Concrete
0.15;Concrete
0.15;Concrete
0.15;Concrete
0.15;Concrete
0.08;Concrete
0.87;Concrete
1.42;Concrete
1.89;Concrete
1.96;Concrete
0.57;Concrete
1.34;Concrete
1.68;Concrete
0.65;Concrete
0.05;Concrete
0.28;Concrete
0.14;Concrete
3.78;Concrete
0.57;Concrete
0.11;Concrete
0.25;Concrete
0.25;Concrete
1.76;Concrete
2.45;Concrete
1.89;Concrete
1.63;Concrete
2.55;Concrete
0.08;Concrete
0.04;Concrete
17.66;Concrete
1.67;Concrete
0.08;Concrete
0.21;Concrete
0.09;Concrete
0.09;Concrete
0.09;Concrete
0.08;Concrete
0.15;Concrete
0.08;Concrete
2.8;Concrete
1.38;Concrete
2.11;Concrete
0.07;Concrete
1.05;Concrete
6.0;Concrete
1.76;Concrete
1.54;Concrete
0.69;Concrete
0.13;Concrete
0.22;Concrete
0.59;Concrete
3.83;Concrete
5.52;Concrete
9.53;Concrete
4.11;Concrete
20.27;Concrete
0.34;Concrete
0.42;Concrete
0.31;Concrete
2.95;Concrete
1.53;Concrete
0.24;Concrete
0.35;Concrete
1.12;Concrete
0.07;Concrete
0.34;Concrete
0.17;Concrete
29.38;Concrete
5.18;Concrete
8.39;Concrete
23.07;Concrete
6.23;Concrete
4.72;Concrete
0.07;Concrete
2.62;Concrete
0.1;Concrete
1.14;Concrete
11.94;Concrete
18.72;Concrete
14.7;Concrete
2.27;Concrete
12.67;Concrete
8.42;Concrete
2.71;Concrete
2.22;Concrete
2.44;Concrete
10.49;Concrete
37.51;Concrete
19.38;Concrete
1.44;Concrete
1.74;Concrete
0.98;Concrete
1.56;Concrete
1.81;Concrete
2.02;Concrete
8.84;Concrete
0.4;Concrete
0.36;Concrete
7.29;Concrete
0.57;Concrete
0.57;Concrete
0.57;Concrete
0.58;Concrete
0.58;Concrete
0.57;Concrete
0.57;Concrete
0.57;Concrete
81.85;Concrete
31.98;Concrete
8.56;Concrete
20.68;Concrete
5.96;Concrete
6.67;Concrete
5.56;Concrete
1.87;Concrete
2.37;Concrete
1.91;Concrete
23.96;Concrete
8.44;Concrete
5.26;Concrete
21.86;Concrete
11.13;Concrete
26.18;Concrete
6.57;Concrete
7.8;Concrete
6.66;Concrete
2.19;Concrete
2.25;Concrete
9.79;Concrete
1.03;Concrete
0.49;Concrete
1.15;Concrete
0.25;Concrete
2.95;Concrete
1.69;Concrete
2.18;Concrete
1.68;Concrete
10.81;Concrete
3.77;Concrete
1.36;Concrete
1.68;Concrete
1.87;Concrete
1.51;Concrete
3.85;Concrete
1.23;Concrete
0.77;Concrete
1.8;Concrete
0.83;Concrete
3.63;Concrete
0.85;Concrete
2.47;Concrete
0.39;Concrete
0.26;Concrete
0.35;Concrete
0.43;Concrete
1.37;Concrete
11.4;Concrete
3.84;Concrete
11.45;Concrete
2.9;Concrete
1.01;Concrete
1.35;Concrete
15.08;Concrete
8.47;Concrete
12.75;Concrete
11.13;Concrete
11.2;Concrete
5.99;Concrete
22.01;Concrete
0.59;Concrete
0.39;Concrete
0.68;Concrete
6.25;Concrete
1.14;Concrete
4.06;Concrete
3.54;Concrete
3.57;Concrete
3.54;Concrete
3.65;Concrete
3.38;Concrete
0.42;Concrete
0.06;Concrete
1.54;Concrete
4.58;Concrete
1.23;Concrete
3.31;Concrete
3.9;Concrete
5.25;Concrete
6.75;Concrete
6.09;Concrete
4.19;Concrete
1.91;Concrete
23.04;Concrete
15.72;Concrete
15.72;Concrete
0.13;Concrete
3.63;Concrete
1.7;Concrete
3.55;Concrete
1.7;Concrete
3.67;Concrete
1.76;Concrete
3.52;Concrete
2.59;Concrete
2.32;Concrete
3.34;Concrete
3.33;Concrete
3.33;Concrete
3.31;Concrete
8.55;Concrete
8.54;Concrete
8.54;Concrete
8.54;Concrete
8.53;Concrete
8.61;Concrete
8.61;Concrete
8.61;Concrete
8.89;Concrete
8.61;Concrete
2.31;Concrete
2.31;Concrete
8.61;Concrete
4.04;Concrete
2.61;Concrete
3.7;Concrete
3.71;Concrete
3.71;Concrete
8.76;Concrete
8.76;Concrete
8.75;Concrete
9.07;Concrete
2.33;Concrete
2.33;Concrete
2.33;Concrete
3.8;Concrete
2.33;Concrete
4.03;Concrete
2.61;Concrete
3.8;Concrete
3.8;Concrete
9.45;Concrete
9.45;Concrete
9.45;Concrete
9.51;Concrete
9.51;Concrete
9.51;Concrete
9.51;Concrete
9.51;Concrete
9.86;Concrete
2.33;Concrete
2.33;Concrete
5.04;Concrete
2.59;Concrete
4.66;Concrete
4.66;Concrete
4.66;Concrete
2.71;Concrete
9.26;Concrete
8.77;Concrete
2.31;Concrete
2.31;Concrete
2.31;Concrete
6.06;Concrete
2.59;Concrete
3.57;Concrete
3.37;Concrete
3.37;Concrete
3.37;Concrete
3.39;Concrete
8.67;Concrete
2.31;Concrete
2.31;Concrete
2.31;Concrete
2.41;Concrete
2.21;Concrete
2.21;Concrete
2.21;Concrete
2.21;Concrete
2.14;Concrete
0.04;Concrete
0.03;Concrete
1.31;Concrete
1.99;Concrete
1.52;Concrete
1.21;Concrete
1.84;Concrete
1.42;Concrete
1.2;Concrete
1.84;Concrete
1.42;Concrete
1.2;Concrete
1.84;Concrete
1.42;Concrete
1.2;Concrete
1.84;Concrete
1.42;Concrete
1.13;Concrete
1.73;Concrete
1.35;Concrete
1.13;Concrete
1.73;Concrete
1.35;Concrete
1.15;Concrete
1.78;Concrete
1.35;Concrete
0.52;Concrete
1.73;Concrete
1.14;Concrete
0.52;Concrete
1.73;Concrete
1.14;Concrete
0.52;Concrete
1.73;Concrete
1.14;Concrete
0.52;Concrete
1.73;Concrete
1.14;Concrete
0.52;Concrete
1.73;Concrete
1.14;Concrete
0.52;Concrete
1.73;Concrete
1.14;Concrete
0.52;Concrete
1.73;Concrete
1.14;Concrete
0.5;Concrete
1.67;Concrete
1.11;Concrete
6.09;Concrete
4.79;Concrete
6.49;Concrete
7.34;Concrete
4.13;Concrete
4.51;Concrete
4.13;Concrete
6.49;Concrete
4.79;Concrete
4.54;Concrete
4.16;Concrete
4.95;Concrete
6.84;Concrete
2.32;Concrete
6.35;Concrete
0.57;Concrete
0.92;Concrete
2.06;Concrete
0.93;Concrete
0.56;Concrete
5.98;Concrete
13.06;Concrete
0.15;Concrete
0.15;Concrete
0.15;Concrete
0.03;Concrete
0.07;Concrete
0.07;Concrete
0.07;Concrete
0.09;Concrete
0.07;Concrete
0.07;Concrete
0.07;Concrete
0.07;Concrete
0.1;Concrete
0.05;Concrete
0.1;Concrete
0.05;Concrete
0.13;Concrete
0.06;Concrete
0.1;Concrete
0.05;Concrete
0.03;Concrete
0.03;Concrete
0.03;Concrete
0.03;Concrete
0.03;Concrete
0.05;Concrete
0.05;Concrete
0.05;Concrete
0.05;Concrete
0.05;Concrete
0.05;Concrete
0.05;Concrete
0.05;Concrete
0.05;Concrete
0.05;Concrete
7.77;Concrete
4.1;Concrete
2.29;Concrete
3.75;Concrete
1.55;Concrete
1.61;Concrete
1.94;Concrete
4.08;Concrete
1.61;Concrete
3.04;Concrete
9.09;Concrete
1.59;Concrete
1.59;Concrete
1.59;Concrete
1.59;Concrete
1.46;Concrete
1.59;Concrete
1.59;Concrete
1.83;Concrete
1.88;Concrete
1.88;Concrete
1.83;Concrete
4.18;Concrete
1.83;Concrete
1.59;Concrete
1.41;Concrete
1.88;Concrete
1.07;Concrete
4.01;Concrete
1.59;Concrete
1.61;Concrete
2.16;Concrete
2.73;Concrete
9.08;Concrete
1.62;Concrete
2.84;Concrete
1.62;Concrete
1.62;Concrete
1.16;Concrete
1.38;Concrete
1.81;Concrete
1.94;Concrete
2.02;Concrete
2.02;Concrete
1.62;Concrete
1.62;Concrete
1.61;Concrete
2.16;Concrete
2.73;Concrete
8.64;Concrete
1.62;Concrete
2.84;Concrete
1.62;Concrete
1.62;Concrete
1.16;Concrete
0.77;Concrete
1.81;Concrete
1.94;Concrete
1.41;Concrete
1.41;Concrete
1.62;Concrete
1.62;Concrete
1.61;Concrete
2.16;Concrete
2.73;Concrete
8.74;Concrete
1.62;Concrete
2.84;Concrete
1.62;Concrete
1.62;Concrete
1.16;Concrete
1.38;Concrete
1.81;Concrete
1.94;Concrete
2.02;Concrete
2.02;Concrete
1.62;Concrete
1.62;Concrete
1.61;Concrete
2.16;Concrete
2.73;Concrete
9.33;Concrete
1.39;Concrete
1.63;Concrete
2.11;Concrete
2.26;Concrete
2.35;Concrete
2.35;Concrete
2.43;Concrete
8.75;Concrete
1.39;Concrete
0.98;Concrete
2.11;Concrete
2.26;Concrete
1.7;Concrete
1.7;Concrete
2.43;Concrete
9.02;Concrete
1.62;Concrete
2.84;Concrete
1.62;Concrete
1.62;Concrete
1.16;Concrete
1.38;Concrete
1.81;Concrete
1.94;Concrete
2.02;Concrete
2.02;Concrete
1.62;Concrete
1.62;Concrete
1.61;Concrete
2.16;Concrete
