Material: Volume;Material: Name
2,56 m³;WAL_Precast-Interior-350_RDK
2,56 m³;WAL_Precast-Interior-350_RDK
2,56 m³;WAL_Precast-Interior-350_RDK
2,56 m³;WAL_Precast-Interior-350_RDK
2,56 m³;WAL_Precast-Interior-350_RDK
4,80 m³;WAL_Precast-Interior-200_RDK
4,88 m³;WAL_Precast-Interior-200_RDK
11,17 m³;WAL_Precast-Interior-200_RDK
5,69 m³;WAL_Precast-Exterior-200_RDK
1,15 m³;WAL_Precast-Interior-200_RDK
5,85 m³;WAL_Precast-Interior-200_RDK
6,02 m³;WAL_Precast-Interior-400_RDK
4,54 m³;WAL_Precast-Interior-400_RDK
3,31 m³;WAL_Precast-Interior-400_RDK
3,16 m³;WAL_Precast-Interior-400_RDK
4,56 m³;WAL_Precast-Interior-400_RDK
3,91 m³;WAL_Precast-Interior-400_RDK
3,80 m³;WAL_Precast-Interior-400_RDK
2,19 m³;WAL_Precast-Interior-400_RDK
6,84 m³;Precast sandwich_wall_Type4 670_RDK
10,52 m³;Precast sandwich_wall_Type4 670_RDK
3,83 m³;WAL_Precast-Interior-250_RDK
5,87 m³;WAL_Precast-Interior-250_RDK
6,21 m³;WAL_Precast-Interior-400_RDK
5,03 m³;WAL_Precast-Interior-400_RDK
6,03 m³;WAL_Precast-Interior-300_RDK
1,62 m³;WAL_Precast-Interior-300_RDK
1,16 m³;WAL_Precast-Interior-350_RDK
2,07 m³;WAL_Precast-Interior-350_RDK
2,04 m³;WAL_Precast-Interior-350_RDK
2,08 m³;WAL_Precast-Interior-350_RDK
2,04 m³;WAL_Precast-Interior-350_RDK
2,09 m³;WAL_Precast-Interior-350_RDK
5,23 m³;WAL_Precast-Exterior-200_RDK
5,79 m³;WAL_Precast-Interior-400_RDK
4,54 m³;WAL_Precast-Interior-400_RDK
3,30 m³;WAL_Precast-Interior-400_RDK
3,18 m³;WAL_Precast-Interior-400_RDK
4,59 m³;WAL_Precast-Interior-400_RDK
3,91 m³;WAL_Precast-Interior-400_RDK
3,80 m³;WAL_Precast-Interior-400_RDK
2,19 m³;WAL_Precast-Interior-400_RDK
6,87 m³;Precast sandwich_wall_Type4 670_RDK
10,55 m³;Precast sandwich_wall_Type4 670_RDK
3,83 m³;WAL_Precast-Interior-250_RDK
5,87 m³;WAL_Precast-Interior-250_RDK
6,36 m³;WAL_Precast-Interior-400_RDK
5,03 m³;WAL_Precast-Interior-400_RDK
6,03 m³;WAL_Precast-Interior-300_RDK
1,62 m³;WAL_Precast-Interior-300_RDK
2,74 m³;Precast sandwich_wall_Type1 450_RDK
3,67 m³;Precast sandwich_wall_Type1 450_RDK
3,21 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
1,82 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
1,82 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
2,13 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
2,20 m³;Precast sandwich_wall_Type 3 300/200_RDK
2,31 m³;Precast sandwich_wall_Type 3 300/200_RDK
2,15 m³;Precast sandwich_wall_Type 3 300/200_RDK
1,60 m³;Precast sandwich_wall_Type 3 300/200_RDK
2,20 m³;Precast sandwich_wall_Type 3 300/200_RDK
6,38 m³;WAL_Precast-Exterior-120_RDK
1,82 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
8,07 m³;Precast sandwich_wall_Type1 450_RDK
5,79 m³;WAL_Precast-Interior-400_RDK
4,54 m³;WAL_Precast-Interior-400_RDK
3,31 m³;WAL_Precast-Interior-400_RDK
3,19 m³;WAL_Precast-Interior-400_RDK
4,59 m³;WAL_Precast-Interior-400_RDK
3,91 m³;WAL_Precast-Interior-400_RDK
3,80 m³;WAL_Precast-Interior-400_RDK
2,19 m³;WAL_Precast-Interior-400_RDK
6,86 m³;Precast sandwich_wall_Type4 670_RDK
11,50 m³;Precast sandwich_wall_Type4 670_RDK
3,83 m³;WAL_Precast-Interior-250_RDK
5,87 m³;WAL_Precast-Interior-250_RDK
21,27 m³;WAL_Precast-Interior-300_RDK
5,05 m³;WAL_Precast-Interior-400_RDK
6,02 m³;WAL_Precast-Interior-300_RDK
1,62 m³;WAL_Precast-Interior-300_RDK
2,82 m³;Precast sandwich_wall_Type1 450_RDK
3,67 m³;Precast sandwich_wall_Type1 450_RDK
3,22 m³;Precast sandwich_wall_Type 3 200/300_RDK 2
